sample_id,SITE_ID,HORIZON,OC,SAND,SILT,CLAY
WHRC07357,STEI,Bt1,1,73.1,21.1,5.8
WHRC07358,STEI,Bt2,1,69.6,24.5,5.9
WHRC07359,STEI,BC,0,79.2,16.3,4.5
WHRC07360,STEI,Cd,0,79.1,15.2,5.7
WHRC07361,STER,Ap1,13,46.7,34.3,19
WHRC07362,STER,Ap2,8,43.1,36.7,20.2
WHRC07363,STER,Bt,6,35.7,40.5,23.8
WHRC07364,STER,Btk,0,43.9,36.3,19.8
WHRC07365,STER,C1,0,77.8,17.2,5
WHRC07366,STER,C2,0,83.7,14.1,2.2
WHRC07367,TALL,A1,24,90.7,6.3,3
WHRC07368,TALL,A2,9,89.5,7.4,3.1
WHRC07369,TALL,BE,3,87.8,8.8,3.4
WHRC07370,TALL,Bt,2,78.4,9.2,12.4
WHRC07371,TALL,Bc,1,87.6,3.8,8.6
WHRC07372,TALL,C1,1,91.7,3,5.3
WHRC07373,TALL,C2,1,90.2,3.2,6.6
WHRC07374,TEAK,A1,52,79.7,17.6,2.7
WHRC07375,TEAK,A2,24,79.6,17.5,2.9
WHRC07376,TEAK,A2,30,79.2,18.2,2.6
WHRC07377,TEAK,A3,20,79.1,18.4,2.5
WHRC07378,TEAK,2AC,18,79,18.7,2.3
WHRC07379,TEAK,2C1,7,79.9,17.5,2.6
WHRC07380,TEAK,3C2,5,77,18.4,4.6
WHRC07381,TEAK,3C3,3,81.3,15.4,3.3
WHRC07382,TEAK,3C4,2,82.1,16.2,1.7
WHRC07383,TOOL,Oe,409,NA,NA,NA
WHRC07384,TOOL,Oa,307,NA,NA,NA
WHRC07385,TOOL,Bg,15,45.1,36.9,18
WHRC07386,TOOL,Cg,15,44.7,36,19.3
WHRC07387,TREE,Oa,30,83.2,12,4.8
WHRC07388,TREE,A/E,23,70.5,22.3,7.2
WHRC07389,TREE,Bs,11,74.2,20.3,5.5
WHRC07390,TREE,E,6,70.1,25.3,4.6
WHRC07391,TREE,E/B,3,71.9,23.4,4.7
WHRC07392,TREE,2E and Bt,0,94.6,2.5,2.9
WHRC07393,TREE,2BC,1,97.2,1.3,1.5
WHRC07394,TREE,3Cd1,1,77.5,16.6,5.9
WHRC07395,TREE,3Cd2,1,81,14.4,4.6
WHRC07396,UKFS,A1,70,8.2,60.9,30.9
WHRC07397,UKFS,A2,45,8.3,46.8,44.9
WHRC07398,UKFS,Bt1,33,8.7,49.2,42.1
WHRC07399,UKFS,Bt2,24,9.8,42.2,48
WHRC07400,UKFS,2Bt3,4,5.8,36.7,57.5
WHRC07401,UKFS,2Btk,2,4.7,47.4,47.9
WHRC07402,UKFS,2C1,2,3.9,55.5,40.6
WHRC07403,UKFS,2C2,1,2.2,57.8,40
